"Date","Item","Unit","Pettah_Today_Wholesale","Dambulla_Today_Wholesale"
"2021-10-11 00:00:00","Beans","kg","315","230"
"2021-10-13 00:00:00","Beans","kg","200","205"
"2021-10-14 00:00:00","Beans","kg","175","115"
"2021-10-15 00:00:00","Beans","kg","190","195"
"2021-10-18 00:00:00","Beans","kg","225","175"
"2021-11-10 00:00:00","Beans","kg","310","255"
"2021-11-11 00:00:00","Beans","kg","335","295"
"2021-11-12 00:00:00","Beans","kg","350","300"
"2021-11-15 00:00:00","Beans","kg","400","395"
"2021-11-16 00:00:00","Beans","kg","425","425"
"2021-11-17 00:00:00","Beans","kg","350","325"
"2021-11-22 00:00:00","Beans","kg","300","335"
"2021-11-24 00:00:00","Beans","kg","250","295"
"2021-11-25 00:00:00","Beans","kg","225","245"
"2021-11-29 00:00:00","Beans","kg","250","210"
"2021-12-10 00:00:00","Beans","kg","275","315"
"2021-12-14 00:00:00","Beans","kg","315","345"
"2021-12-17 00:00:00","Beans","kg","340","225"
"2021-12-20 00:00:00","Beans","kg","400","295"
"2021-12-21 00:00:00","Beans","kg","400","245"
"2021-12-22 00:00:00","Beans","kg","415","315"
"2021-12-23 00:00:00","Beans","kg","400","325"
"2021-12-27 00:00:00","Beans","kg","400","315"
"2021-12-29 00:00:00","Beans","kg","350","295"
"2021-12-31 00:00:00","Beans","kg","350","320"
"2022-01-10 00:00:00","Beans","kg","350","225"
"2022-01-11 00:00:00","Beans","kg","325","265"
"2022-01-19 00:00:00","Beans","kg","350","215"
"2022-01-20 00:00:00","Beans","kg","400","355"
"2022-01-21 00:00:00","Beans","kg","400","355"
"2022-01-25 00:00:00","Beans","kg","410","325"
"2022-01-28 00:00:00","Beans","kg","375","295"
"2022-02-11 00:00:00","Beans","kg","170","185"
"2022-02-15 00:00:00","Beans","kg","180","195"
"2022-02-21 00:00:00","Beans","kg","180","185"
"2022-02-22 00:00:00","Beans","kg","165","148"
"2022-02-25 00:00:00","Beans","kg","170","178"
"2022-02-28 00:00:00","Beans","kg","200","168"
"2022-03-10 00:00:00","Beans","kg","240","215"
"2022-03-11 00:00:00","Beans","kg","230","195"
"2022-03-14 00:00:00","Beans","kg","210","140"
"2022-03-25 00:00:00","Beans","kg","200","175"
"2022-03-29 00:00:00","Beans","kg","190","175"
"2022-03-30 00:00:00","Beans","kg","150","138"
"2022-04-12 00:00:00","Beans","kg","400","290"
"2022-04-19 00:00:00","Beans","kg","300","195"
"2022-04-25 00:00:00","Beans","kg","350","395"
"2022-05-12 00:00:00","Beans","kg","400","315"
"2022-05-17 00:00:00","Beans","kg","450","465"
"2022-05-24 00:00:00","Beans","kg","540","595"
"2022-05-25 00:00:00","Beans","kg","500","525"
"2022-05-26 00:00:00","Beans","kg","500","445"
"2022-05-30 00:00:00","Beans","kg","600","515"
"2022-06-10 00:00:00","Beans","kg","650","525"
"2022-06-13 00:00:00","Beans","kg","700","625"
"2022-06-17 00:00:00","Beans","kg","650","475"
"2022-06-20 00:00:00","Beans","kg","600","475"
"2022-06-21 00:00:00","Beans","kg","600","395"
"2022-06-23 00:00:00","Beans","kg","500","445"
"2022-06-27 00:00:00","Beans","kg","550","365"
"2022-06-30 00:00:00","Beans","kg","400","195"
"2022-07-11 00:00:00","Beans","kg","400","325"
"2022-07-14 00:00:00","Beans","kg","400","245"
"2022-07-15 00:00:00","Beans","kg","400","345"
"2022-07-18 00:00:00","Beans","kg","400","345"
"2022-07-19 00:00:00","Beans","kg","350","395"
"2022-07-20 00:00:00","Beans","kg","350","345"
"2022-07-22 00:00:00","Beans","kg","350","330"
"2022-07-29 00:00:00","Beans","kg","400","295"
"2022-08-15 00:00:00","Beans","kg","450","495"
"2022-08-17 00:00:00","Beans","kg","250","375"
"2022-08-19 00:00:00","Beans","kg","250","395"
"2022-08-22 00:00:00","Beans","kg","200","275"
"2022-08-24 00:00:00","Beans","kg","200","195"
"2022-08-31 00:00:00","Beans","kg","300","365"
"2022-09-12 00:00:00","Beans","kg","550","475"
"2022-09-13 00:00:00","Beans","kg","550","390"
"2022-09-22 00:00:00","Beans","kg","350","245"
"2022-09-23 00:00:00","Beans","kg","300","275"
"2022-09-28 00:00:00","Beans","kg","300","220"
"2022-09-30 00:00:00","Beans","kg","220","215"
"2022-10-03 00:00:00","Beans","kg","350","245"
"2022-10-04 00:00:00","Beans","kg","300","345"
"2022-10-05 00:00:00","Beans","kg","300","210"
"2022-10-06 00:00:00","Beans","kg","350","325"
"2022-10-07 00:00:00","Beans","kg","300","310"
"2022-10-11 00:00:00","Beans","kg","350","245"
"2022-10-13 00:00:00","Beans","kg","350","225"
"2022-10-14 00:00:00","Beans","kg","250","275"
"2022-10-17 00:00:00","Beans","kg","300","250"
"2022-10-18 00:00:00","Beans","kg","320","290"
"2022-10-19 00:00:00","Beans","kg","350","245"
"2022-10-20 00:00:00","Beans","kg","350","220"
"2022-10-21 00:00:00","Beans","kg","300","275"
"2022-10-26 00:00:00","Beans","kg","300","285"
"2022-11-01 00:00:00","Beans","kg","400","280"
"2022-11-03 00:00:00","Beans","kg","350","275"
"2022-11-04 00:00:00","Beans","kg","400","275"
"2022-11-10 00:00:00","Beans","kg","350","290"
"2022-11-11 00:00:00","Beans","kg","400","300"
"2022-11-15 00:00:00","Beans","kg","430","305"
"2022-11-16 00:00:00","Beans","kg","350","305"
"2022-11-17 00:00:00","Beans","kg","400","325"
"2022-11-23 00:00:00","Beans","kg","450","355"
"2022-11-29 00:00:00","Beans","kg","350","245"
"2022-11-30 00:00:00","Beans","kg","300","175"
"2022-12-01 00:00:00","Beans","kg","400","150"
"2022-12-02 00:00:00","Beans","kg","400","170"
"2022-12-05 00:00:00","Beans","kg","200","120"
"2022-12-09 00:00:00","Beans","kg","200","160"
"2022-12-13 00:00:00","Beans","kg","450","325"
"2022-12-29 00:00:00","Beans","kg","600","425"
"2023-01-04 00:00:00","Beans","kg","600","475"
"2023-01-05 00:00:00","Beans","kg","550","515"
"2023-01-11 00:00:00","Beans","kg","450","390"
"2023-01-12 00:00:00","Beans","kg","450","375"
"2023-01-13 00:00:00","Beans","kg","500","425"
"2023-01-17 00:00:00","Beans","kg","400","350"
"2023-01-18 00:00:00","Beans","kg","350","290"
"2023-01-19 00:00:00","Beans","kg","300","255"
"2023-01-20 00:00:00","Beans","kg","300","245"
"2023-01-23 00:00:00","Beans","kg","300","275"
"2023-01-24 00:00:00","Beans","kg","300","300"
"2023-01-25 00:00:00","Beans","kg","300","300"
"2023-01-27 00:00:00","Beans","kg","350","425"
"2023-01-30 00:00:00","Beans","kg","300","325"
"2023-01-31 00:00:00","Beans","kg","300","325"
"2023-02-01 00:00:00","Beans","kg","300","375"
"2023-02-02 00:00:00","Beans","kg","350","325"
"2023-02-03 00:00:00","Beans","kg","400","350"
"2023-02-06 00:00:00","Beans","kg","400","305"
"2023-02-07 00:00:00","Beans","kg","400","290"
"2023-02-08 00:00:00","Beans","kg","400","325"
"2023-02-10 00:00:00","Beans","kg","450","400"
"2023-02-13 00:00:00","Beans","kg","350","415"
"2023-02-14 00:00:00","Beans","kg","350","325"
"2023-02-16 00:00:00","Beans","kg","450","390"
"2023-02-20 00:00:00","Beans","kg","320","275"
"2023-02-21 00:00:00","Beans","kg","320","325"
"2023-02-22 00:00:00","Beans","kg","350","190"
"2023-02-24 00:00:00","Beans","kg","300","265"
"2023-02-27 00:00:00","Beans","kg","300","175"
"2023-02-28 00:00:00","Beans","kg","320","225"
"2023-03-01 00:00:00","Beans","kg","300","215"
"2023-03-02 00:00:00","Beans","kg","350","240"
"2023-03-03 00:00:00","Beans","kg","300","178"
"2023-03-07 00:00:00","Beans","kg","300","268"
"2023-03-08 00:00:00","Beans","kg","320","250"
"2023-03-10 00:00:00","Beans","kg","300","210"
"2023-03-14 00:00:00","Beans","kg","250","190"
"2023-03-15 00:00:00","Beans","kg","250","210"
"2023-03-16 00:00:00","Beans","kg","200","205"
"2023-03-17 00:00:00","Beans","kg","200","175"
"2023-03-20 00:00:00","Beans","kg","200","160"
"2023-03-22 00:00:00","Beans","kg","200","105"
"2023-03-23 00:00:00","Beans","kg","200","135"
"2023-03-24 00:00:00","Beans","kg","130","115"
"2023-03-27 00:00:00","Beans","kg","150","100"
"2023-03-29 00:00:00","Beans","kg","150","120"
"2023-03-30 00:00:00","Beans","kg","150","135"
"2023-03-31 00:00:00","Beans","kg","120","90"
"2023-04-03 00:00:00","Beans","kg","150","85"
"2023-04-04 00:00:00","Beans","kg","120","125"
"2023-04-06 00:00:00","Beans","kg","100","105"
"2023-04-10 00:00:00","Beans","kg","280","210"
"2023-04-11 00:00:00","Beans","kg","250","220"
"2023-04-18 00:00:00","Beans","kg","120","88"
"2023-04-19 00:00:00","Beans","kg","100","85"
"2023-04-20 00:00:00","Beans","kg","100","225"
"2023-04-21 00:00:00","Beans","kg","120","150"
"2023-04-24 00:00:00","Beans","kg","160","145"
"2023-04-25 00:00:00","Beans","kg","180","175"
"2023-04-26 00:00:00","Beans","kg","250","175"
"2023-04-27 00:00:00","Beans","kg","250","145"
"2023-05-02 00:00:00","Beans","kg","350","265"
"2023-05-03 00:00:00","Beans","kg","350","260"
"2023-05-04 00:00:00","Beans","kg","350","265"
"2023-05-08 00:00:00","Beans","kg","300","245"
"2023-05-09 00:00:00","Beans","kg","350","265"
"2023-05-10 00:00:00","Beans","kg","400","240"
"2023-05-11 00:00:00","Beans","kg","400","325"
"2023-05-12 00:00:00","Beans","kg","400","350"
"2023-05-15 00:00:00","Beans","kg","550","450"
"2023-05-16 00:00:00","Beans","kg","500","390"
"2023-05-17 00:00:00","Beans","kg","500","265"
"2023-05-18 00:00:00","Beans","kg","400","375"
"2023-05-19 00:00:00","Beans","kg","350","350"
"2023-05-22 00:00:00","Beans","kg","400","225"
"2023-05-23 00:00:00","Beans","kg","350","205"
"2023-05-24 00:00:00","Beans","kg","300","195"
"2023-05-25 00:00:00","Beans","kg","300","265"
"2023-05-26 00:00:00","Beans","kg","400","315"
"2023-05-29 00:00:00","Beans","kg","400","325"
"2023-05-30 00:00:00","Beans","kg","300","325"
"2023-05-31 00:00:00","Beans","kg","350","305"
"2023-06-01 00:00:00","Beans","kg","350","305"
"2023-06-02 00:00:00","Beans","kg","350","275"
"2023-06-05 00:00:00","Beans","kg","300","325"
"2023-06-07 00:00:00","Beans","kg","350","215"
"2023-06-08 00:00:00","Beans","kg","350","290"
"2023-06-09 00:00:00","Beans","kg","300","305"
"2023-06-12 00:00:00","Beans","kg","400","375"
"2023-06-13 00:00:00","Beans","kg","400","315"
"2023-06-14 00:00:00","Beans","kg","450","375"
"2023-06-15 00:00:00","Beans","kg","400","340"
"2023-06-16 00:00:00","Beans","kg","400","380"
"2023-06-19 00:00:00","Beans","kg","400","375"
"2023-06-20 00:00:00","Beans","kg","400","375"
"2023-06-21 00:00:00","Beans","kg","400","375"
"2023-06-22 00:00:00","Beans","kg","400","375"
"2023-06-23 00:00:00","Beans","kg","420","375"
"2023-06-26 00:00:00","Beans","kg","480","445"
"2023-06-27 00:00:00","Beans","kg","460","390"
"2023-06-28 00:00:00","Beans","kg","450","400"
"2023-07-04 00:00:00","Beans","kg","400","305"
"2023-07-05 00:00:00","Beans","kg","350","285"
"2023-07-06 00:00:00","Beans","kg","400","275"
"2023-07-07 00:00:00","Beans","kg","380","295"
"2023-07-10 00:00:00","Beans","kg","450","375"
"2023-07-11 00:00:00","Beans","kg","400","375"
"2023-07-12 00:00:00","Beans","kg","400","350"
"2023-07-13 00:00:00","Beans","kg","400","365"
"2023-07-14 00:00:00","Beans","kg","400","365"
"2023-07-17 00:00:00","Beans","kg","400","375"
"2023-07-18 00:00:00","Beans","kg","350","315"
"2023-07-19 00:00:00","Beans","kg","350","325"
"2023-07-20 00:00:00","Beans","kg","350","275"
"2023-07-21 00:00:00","Beans","kg","350","350"
"2023-07-24 00:00:00","Beans","kg","400","290"
"2023-07-25 00:00:00","Beans","kg","400","325"
"2023-07-31 00:00:00","Beans","kg","300","340"
"2023-08-02 00:00:00","Beans","kg","300","315"
"2023-08-03 00:00:00","Beans","kg","250","325"
"2023-08-04 00:00:00","Beans","kg","300","365"
"2023-08-07 00:00:00","Beans","kg","300","295"
"2023-08-08 00:00:00","Beans","kg","300","315"
"2023-08-09 00:00:00","Beans","kg","350","315"
"2023-08-10 00:00:00","Beans","kg","350","340"
"2023-08-11 00:00:00","Beans","kg","300","305"
"2023-08-14 00:00:00","Beans","kg","350","385"
"2023-08-15 00:00:00","Beans","kg","350","375"
"2023-08-17 00:00:00","Beans","kg","350","325"
"2023-08-18 00:00:00","Beans","kg","380","375"
"2023-08-22 00:00:00","Beans","kg","350","310"
"2023-08-23 00:00:00","Beans","kg","320","375"
"2023-08-25 00:00:00","Beans","kg","350","350"
"2023-08-28 00:00:00","Beans","kg","400","290"
"2023-08-29 00:00:00","Beans","kg","400","325"
"2023-08-31 00:00:00","Beans","kg","350","275"
"2023-09-01 00:00:00","Beans","kg","250","275"
"2023-09-04 00:00:00","Beans","kg","250","225"
"2023-09-05 00:00:00","Beans","kg","350","275"
"2023-09-06 00:00:00","Beans","kg","350","275"
"2023-09-07 00:00:00","Beans","kg","300","300"
"2023-09-08 00:00:00","Beans","kg","350","275"
"2023-09-11 00:00:00","Beans","kg","400","325"
"2023-09-12 00:00:00","Beans","kg","400","290"
"2023-09-13 00:00:00","Beans","kg","400","375"
"2023-09-14 00:00:00","Beans","kg","400","375"
"2023-09-15 00:00:00","Beans","kg","400","340"
"2023-09-18 00:00:00","Beans","kg","400","325"
"2023-09-20 00:00:00","Beans","kg","350","210"
"2023-09-21 00:00:00","Beans","kg","300","325"
"2023-09-22 00:00:00","Beans","kg","300","325"
"2023-09-25 00:00:00","Beans","kg","300","245"
"2023-09-26 00:00:00","Beans","kg","350","255"
"2023-09-27 00:00:00","Beans","kg","300","210"
"2023-10-04 00:00:00","Beans","kg","300","375"
"2023-10-05 00:00:00","Beans","kg","350","315"
"2023-10-06 00:00:00","Beans","kg","400","325"
"2023-10-09 00:00:00","Beans","kg","350","335"
"2023-10-10 00:00:00","Beans","kg","400","315"
"2023-10-11 00:00:00","Beans","kg","350","310"
"2023-10-12 00:00:00","Beans","kg","400","355"
"2023-10-13 00:00:00","Beans","kg","350","375"
"2023-10-16 00:00:00","Beans","kg","400","280"
"2023-10-17 00:00:00","Beans","kg","450","325"
"2023-10-18 00:00:00","Beans","kg","450","335"
"2023-10-19 00:00:00","Beans","kg","400","465"
"2023-10-20 00:00:00","Beans","kg","420","325"
"2023-10-24 00:00:00","Beans","kg","550","465"
"2023-10-26 00:00:00","Beans","kg","650","550"
"2023-10-27 00:00:00","Beans","kg","650","525"
"2023-11-01 00:00:00","Beans","kg","400","415"
"2023-11-02 00:00:00","Beans","kg","400","310"
"2023-11-03 00:00:00","Beans","kg","400","295"
"2023-11-06 00:00:00","Beans","kg","420","255"
"2023-11-07 00:00:00","Beans","kg","450","265"
"2023-11-08 00:00:00","Beans","kg","400","290"
"2023-11-09 00:00:00","Beans","kg","400","290"
"2023-11-10 00:00:00","Beans","kg","400","290"
"2023-11-13 00:00:00","Beans","kg","400","345"
"2023-11-14 00:00:00","Beans","kg","400","345"
"2023-11-15 00:00:00","Beans","kg","350","325"
"2023-11-16 00:00:00","Beans","kg","450","325"
"2023-11-17 00:00:00","Beans","kg","420","340"
"2023-11-20 00:00:00","Beans","kg","600","390"
"2023-11-21 00:00:00","Beans","kg","600","415"
"2023-11-22 00:00:00","Beans","kg","600","425"
"2023-11-23 00:00:00","Beans","kg","600","475"
"2023-11-24 00:00:00","Beans","kg","550","490"
"2023-11-27 00:00:00","Beans","kg","650","495"
"2023-11-28 00:00:00","Beans","kg","650","450"
"2023-11-29 00:00:00","Beans","kg","600","495"
"2023-11-30 00:00:00","Beans","kg","600","475"
"2023-12-01 00:00:00","Beans","kg","600","475"
"2023-12-04 00:00:00","Beans","kg","600","475"
"2023-12-05 00:00:00","Beans","kg","600","375"
"2023-12-06 00:00:00","Beans","kg","550","395"
"2023-12-07 00:00:00","Beans","kg","500","335"
"2023-12-08 00:00:00","Beans","kg","500","325"
"2023-12-11 00:00:00","Beans","kg","500","285"
"2023-12-12 00:00:00","Beans","kg","400","310"
"2023-12-13 00:00:00","Beans","kg","400","295"
"2023-12-14 00:00:00","Beans","kg","400","325"
"2023-12-15 00:00:00","Beans","kg","450","345"
"2023-12-18 00:00:00","Beans","kg","400","325"
"2023-12-19 00:00:00","Beans","kg","400","275"
"2023-12-20 00:00:00","Beans","kg","450","375"
"2023-12-21 00:00:00","Beans","kg","450","375"
"2023-12-22 00:00:00","Beans","kg","500","410"
"2023-12-27 00:00:00","Beans","kg","400","515"
"2023-12-28 00:00:00","Beans","kg","400","550"
"2023-12-29 00:00:00","Beans","kg","450","470"
"2024-01-03 00:00:00","Beans","kg","500","475"
"2024-01-04 00:00:00","Beans","kg","450","275"
"2024-01-05 00:00:00","Beans","kg","450","375"
"2024-01-08 00:00:00","Beans","kg","500","425"
"2024-01-09 00:00:00","Beans","kg","500","425"
"2024-01-10 00:00:00","Beans","kg","500","445"
